Data.Documentation.10.5067/NIMBUS/NmIcEdg2,NmIcEdg2,Ice Edge Points from Nimbus Visible Imagery L2,version=1,source=final\savNC640830.edit.txt
longitude, latitude, File_name, EdgeType, ishift, jshift, (Analyst)
351.58,82.21,NmAVCS1H.60.02.1964.01.245.06.53.49.01.02.907.937.907.1040.34.hdf,2,126,27,ggc
351.4,82.29,NmAVCS1H.60.02.1964.01.245.06.53.49.01.02.907.937.907.1040.34.hdf,2,126,27,ggc
351.02,82.39,NmAVCS1H.60.02.1964.01.245.06.53.49.01.02.907.937.907.1040.34.hdf,2,126,27,ggc
350.46,82.47,NmAVCS1H.60.02.1964.01.245.06.53.49.01.02.907.937.907.1040.34.hdf,2,126,27,ggc
350.11,82.49,NmAVCS1H.60.02.1964.01.245.06.53.49.01.02.907.937.907.1040.34.hdf,2,126,27,ggc
349.75,82.49,NmAVCS1H.60.02.1964.01.245.06.53.49.01.02.907.937.907.1040.34.hdf,2,126,27,ggc
349.52,82.47,NmAVCS1H.60.02.1964.01.245.06.53.49.01.02.907.937.907.1040.34.hdf,2,126,27,ggc
349.21,82.44,NmAVCS1H.60.02.1964.01.245.06.53.49.01.02.907.937.907.1040.34.hdf,2,126,27,ggc
349.17,82.43,NmAVCS1H.60.02.1964.01.245.06.53.49.01.02.907.937.907.1040.34.hdf,2,126,27,ggc
348.81,82.23,NmAVCS1H.60.02.1964.01.245.06.53.49.01.02.907.937.907.1040.34.hdf,2,126,27,ggc
348.55,82.24,NmAVCS1H.60.02.1964.01.245.06.53.49.01.02.907.937.907.1040.34.hdf,2,126,27,ggc
348.27,82.14,NmAVCS1H.60.02.1964.01.245.06.53.49.01.02.907.937.907.1040.34.hdf,2,126,27,ggc
348.08,82.02,NmAVCS1H.60.02.1964.01.245.06.53.49.01.02.907.937.907.1040.34.hdf,2,126,27,ggc
347.71,81.9,NmAVCS1H.60.02.1964.01.245.06.53.49.01.02.907.937.907.1040.34.hdf,2,126,27,ggc
347.56,81.83,NmAVCS1H.60.02.1964.01.245.06.53.49.01.02.907.937.907.1040.34.hdf,2,126,27,ggc
347.36,81.76,NmAVCS1H.60.02.1964.01.245.06.53.49.01.02.907.937.907.1040.34.hdf,2,126,27,ggc
354.84,80.97,NmAVCS1H.60.02.1964.01.245.06.53.49.01.02.907.937.907.1040.34.hdf,4,126,27,ggc
354.68,80.89,NmAVCS1H.60.02.1964.01.245.06.53.49.01.02.907.937.907.1040.34.hdf,4,126,27,ggc
354.17,80.78,NmAVCS1H.60.02.1964.01.245.06.53.49.01.02.907.937.907.1040.34.hdf,4,126,27,ggc
354.36,80.68,NmAVCS1H.60.02.1964.01.245.06.53.49.01.02.907.937.907.1040.34.hdf,4,126,27,ggc
354.9,80.56,NmAVCS1H.60.02.1964.01.245.06.53.49.01.02.907.937.907.1040.34.hdf,4,126,27,ggc
355.28,80.49,NmAVCS1H.60.02.1964.01.245.06.53.49.01.02.907.937.907.1040.34.hdf,4,126,27,ggc
355.9,80.48,NmAVCS1H.60.02.1964.01.245.06.53.49.01.02.907.937.907.1040.34.hdf,4,126,27,ggc
356.49,80.54,NmAVCS1H.60.02.1964.01.245.06.53.49.01.02.907.937.907.1040.34.hdf,4,126,27,ggc
356.99,80.68,NmAVCS1H.60.02.1964.01.245.06.53.49.01.02.907.937.907.1040.34.hdf,4,126,27,ggc
357.33,80.87,NmAVCS1H.60.02.1964.01.245.06.53.49.01.02.907.937.907.1040.34.hdf,4,126,27,ggc
357.46,81.05,NmAVCS1H.60.02.1964.01.245.06.53.49.01.02.907.937.907.1040.34.hdf,4,126,27,ggc
357.12,81.08,NmAVCS1H.60.02.1964.01.245.06.53.49.01.02.907.937.907.1040.34.hdf,4,126,27,ggc
356.52,81.1,NmAVCS1H.60.02.1964.01.245.06.53.49.01.02.907.937.907.1040.34.hdf,4,126,27,ggc
355.99,81.08,NmAVCS1H.60.02.1964.01.245.06.53.49.01.02.907.937.907.1040.34.hdf,4,126,27,ggc
355.61,81.06,NmAVCS1H.60.02.1964.01.245.06.53.49.01.02.907.937.907.1040.34.hdf,4,126,27,ggc
350.11,80.14,NmAVCS1H.60.02.1964.01.245.06.53.49.01.02.907.937.907.1040.34.hdf,4,126,27,ggc
350.05,80.12,NmAVCS1H.60.02.1964.01.245.06.53.49.01.02.907.937.907.1040.34.hdf,4,126,27,ggc
350.02,80.08,NmAVCS1H.60.02.1964.01.245.06.53.49.01.02.907.937.907.1040.34.hdf,4,126,27,ggc
350.24,80.05,NmAVCS1H.60.02.1964.01.245.06.53.49.01.02.907.937.907.1040.34.hdf,4,126,27,ggc
350.71,80.03,NmAVCS1H.60.02.1964.01.245.06.53.49.01.02.907.937.907.1040.34.hdf,4,126,27,ggc
351.42,80.04,NmAVCS1H.60.02.1964.01.245.06.53.49.01.02.907.937.907.1040.34.hdf,4,126,27,ggc
